Category,Category Type
TRANSFER (SEND),Expense
Necessary Regular Expenses,Expense
Other Regular Expenses,Expense
Not Regular Necessities,Expense
Dispensables,Expense
Investments,Expense
Taxes,Expense
Loans,Expense
Business Expenses,Expense
Paying Debts,Expense
Other Expense,Expense
TRANSFER (RECEIVE),Income
Regular Salary,Income
Clients Regular Retainer,Income
Therapy Clients,Income
Business Cashouts,Income
Freelance Work,Income
Debt Collection,Income
Loan,Income
Assets Selling,Income
Cashbacks,Income
Selling Belongings,Income
Clients Subscriptions,Income
Other Income,Income
Return on investments,Income
Clients Marketing Budget,Income
,