Sub Category,Category
Rent Or Mortgage,Necessary Regular Expenses
"Supermarket, Food & Pantry",Necessary Regular Expenses
Transport,Necessary Regular Expenses
Pocket Money,Necessary Regular Expenses
Living Services,Necessary Regular Expenses
Regular Medical Payments,Necessary Regular Expenses
Gym & Training,Necessary Regular Expenses
Self Care Services,Other Regular Expenses
Subscriptions,Other Regular Expenses
Holidays,Other Regular Expenses
Unregular Medical Payments,Not Regular Necessities
Emergencies,Not Regular Necessities
Moving,Not Regular Necessities
Various Articles,Not Regular Necessities
Big Purchases,Not Regular Necessities
Professional Services,Not Regular Necessities
Education,Not Regular Necessities
Videogames,Dispensables
Going Out,Dispensables
Vacations & Traveling,Dispensables
Dispensable Various Articles,Dispensables
Donation,Dispensables
Delivery Food,Dispensables
Real Estate,Investments
Stocks,Investments
Cryptos,Investments
Lend money to friends and family,Loans
Lend money to Fénix or Purewell,Loans
Lend money to clients,Loans
Software & Subscriptions,Business Expenses
Clients Marketing,Business Expenses
Professional Fees,Business Expenses
Freelance Services,Business Expenses
Business Articles,Business Expenses
Interests,Paying Debts
Business Opportunities or Own Business,Investments
Family loan,Loan
,